Title,Media URL,Pinterest board,Description,Link,Publish date,Alt text
Haunting & Heartbreaking: Cropped Hoodie in Jet Black by Cancel Stigma,https://raw.githubusercontent.com/Ankit-RH-24/Cancel-stigma-Pintrest/main/UGC%20-%20cropped%20hoodie%20%2B%20%20misfits/IMG_6068%20%282%29.JPG,Aesthetic Clothing,"Step into the Vamp Romantic era with this jet black cropped hoodie from Cancel Stigma — dark romantic energy, after-dark glamour, and something hauntingly heartbreaking in every stitch. Aesthetic clothing for those who wear their mood.",https://cancelstigma.com,2026-03-23 14:00:00,Cancel Stigma Cropped Hoodie — Vamp Romantic style: dark romantic and after-dark glamour.
Earth Tones in Green: Socks — Khaki Coded by Cancel Stigma,https://raw.githubusercontent.com/Ankit-RH-24/Cancel-stigma-Pintrest/main/UGC%20-%20socks/green/DSC07388.jpg,Aesthetic Clothing,"Go earthy with this green socks from Cancel Stigma — Khaki Coded utility streetwear meets the paleontologist aesthetic in every stitch. Earth tones, intentional design, and attitude to match.",https://cancelstigma.com,2026-03-23 19:00:00,Cancel Stigma Socks — Khaki Coded style: utility streetwear and paleontologist aesthetic.
Unexpected Elegance: Socks in Blush Pink,https://raw.githubusercontent.com/Ankit-RH-24/Cancel-stigma-Pintrest/main/UGC%20-%20socks/pink/DSC07217-2.jpg,Aesthetic Clothing,"The Laced Up trend takes a blush turn with this pink socks from Cancel Stigma — softly stitched with unexpected elegance and a whisper of lace details. Feminine, refined, and effortlessly aesthetic.",https://cancelstigma.com,2026-03-24 09:00:00,Cancel Stigma Socks — Laced Up style: softly stitched and unexpected elegance.
Laced Up in Pink — Socks for the Feminine Aesthetic,https://raw.githubusercontent.com/Ankit-RH-24/Cancel-stigma-Pintrest/main/UGC%20-%20socks/pink/DSC07232.jpg,Aesthetic Clothing,"The Laced Up trend takes a blush turn with this pink socks from Cancel Stigma — softly stitched with unexpected elegance and a whisper of lace details. Feminine, refined, and effortlessly aesthetic.",https://cancelstigma.com,2026-03-24 14:00:00,Cancel Stigma Socks — Laced Up style: softly stitched and unexpected elegance.
Softly Stitched: Socks in Unexpected Elegance,https://raw.githubusercontent.com/Ankit-RH-24/Cancel-stigma-Pintrest/main/UGC%20-%20socks/white/DSC07254.jpg,Aesthetic Clothing,Discover the Laced Up trend with this softly stitched socks from Cancel Stigma — unexpected elegance woven into every lace detail. A quiet piece that speaks volumes in your capsule wardrobe.,https://cancelstigma.com,2026-03-24 19:00:00,Cancel Stigma Socks — Laced Up style: softly stitched and unexpected elegance.
Laced Up Aesthetic: Socks with Lace Details by Cancel Stigma,https://raw.githubusercontent.com/Ankit-RH-24/Cancel-stigma-Pintrest/main/UGC%20-%20socks/white/DSC07432.jpg,Aesthetic Clothing,Discover the Laced Up trend with this softly stitched socks from Cancel Stigma — unexpected elegance woven into every lace detail. A quiet piece that speaks volumes in your capsule wardrobe.,https://cancelstigma.com,2026-03-25 09:00:00,Cancel Stigma Socks — Laced Up style: softly stitched and unexpected elegance.
Field-Ready Style: Cap in Earth Tones by Cancel Stigma,https://raw.githubusercontent.com/Ankit-RH-24/Cancel-stigma-Pintrest/main/UGC%20caps/DSC01027%20%281%29.jpg,Aesthetic Clothing,"Go Khaki Coded with this earth-toned cap from Cancel Stigma — utility streetwear collides with the paleontologist aesthetic for a look that's rugged, intentional, and deeply wearable.",https://cancelstigma.com,2026-03-25 14:00:00,Cancel Stigma Cap — Khaki Coded style: utility streetwear and paleontologist aesthetic.
Earth Tones Redefined: Cap in Utility Streetwear,https://raw.githubusercontent.com/Ankit-RH-24/Cancel-stigma-Pintrest/main/UGC%20caps/DSC01055.jpg,Aesthetic Clothing,"Go Khaki Coded with this earth-toned cap from Cancel Stigma — utility streetwear collides with the paleontologist aesthetic for a look that's rugged, intentional, and deeply wearable.",https://cancelstigma.com,2026-03-25 19:00:00,Cancel Stigma Cap — Khaki Coded style: utility streetwear and paleontologist aesthetic.
Khaki Coded: Cap for the Paleontologist Aesthetic,https://raw.githubusercontent.com/Ankit-RH-24/Cancel-stigma-Pintrest/main/UGC%20caps/IMG_0720.JPG,Aesthetic Clothing,"Go Khaki Coded with this earth-toned cap from Cancel Stigma — utility streetwear collides with the paleontologist aesthetic for a look that's rugged, intentional, and deeply wearable.",https://cancelstigma.com,2026-03-26 09:00:00,Cancel Stigma Cap — Khaki Coded style: utility streetwear and paleontologist aesthetic.
Field-Ready Style: Cap in Earth Tones by Cancel Stigma,https://raw.githubusercontent.com/Ankit-RH-24/Cancel-stigma-Pintrest/main/UGC%20caps/IMG_1730.JPG,Aesthetic Clothing,"Go Khaki Coded with this earth-toned cap from Cancel Stigma — utility streetwear collides with the paleontologist aesthetic for a look that's rugged, intentional, and deeply wearable.",https://cancelstigma.com,2026-03-26 14:00:00,Cancel Stigma Cap — Khaki Coded style: utility streetwear and paleontologist aesthetic.
Earth Tones Redefined: Cap in Utility Streetwear,https://raw.githubusercontent.com/Ankit-RH-24/Cancel-stigma-Pintrest/main/UGC%20caps/IMG_1756.jpg,Aesthetic Clothing,"Go Khaki Coded with this earth-toned cap from Cancel Stigma — utility streetwear collides with the paleontologist aesthetic for a look that's rugged, intentional, and deeply wearable.",https://cancelstigma.com,2026-03-26 19:00:00,Cancel Stigma Cap — Khaki Coded style: utility streetwear and paleontologist aesthetic.
